accounting_rpt_month,TRANSACTION_TYPE,Product,ProductSub,Segment,Channel,County,Region,Subs_Count,Total_S15_Revenue,PREV_Total_S15_Revenue,ARPU,PREV_ARPU,Inbundle_S15_Revenue,PREV_Inbundle_S15_Revenue,Outbundle_S15_Revenue,PREV_Outbundle_S15_Revenue
2024-01-01,OUTFLOW,M2M,M2M,SMB,INDIRECT HUNTING,Bucuresti,Sud,2681,0.0,149.0,0.0,0.055576277508392391,0.0,4.0,0.0,145.0
2024-01-01,BASE,M2M,M2M,MLE,INDIRECT SALES,Bucuresti,Sud,4806,2747.0,2747.0,0.57157719517270078,0.57157719517270078,2584.0,2584.0,163.0,163.0
2024-01-01,INFLOW,M2M,M2M,Strategic,DIRECT SALES,Bucuresti,Sud,3748,1217.0,0.0,0.32470651013874069,0.0,1217.0,0.0,0.0,0.0
2024-01-01,BASE,M2M,M2M,MLE,OTHER,Bacau,Est,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-01,BASE,M2M,M2M,Strategic,OTHER,Bucuresti,Sud,159208,143485.0,143530.0,0.901242399879403,0.901525048992513,98844.0,98889.0,44641.0,44641.0
2024-01-01,OUTFLOW,M2M,M2M,SMB,BSA,Cluj,Vest,6,0.0,9.0,0.0,1.5,0.0,9.0,0.0,0.0
2024-01-01,BASE,M2M,M2M,SMB,OTHER,Bucuresti,Sud,1915,2152.0,1522.0,1.1237597911227155,0.79477806788511751,2012.0,1382.0,140.0,140.0
2024-01-01,RETENTION,M2M,M2M,MLE,DIRECT SALES,Bucuresti,Sud,205,173.0,823.0,0.84390243902439022,4.0146341463414634,153.0,667.0,20.0,156.0
2024-01-01,OUTFLOW,M2M,M2M,MLE,DIRECT SALES,County_Craiova,Vest,142,0.0,275.0,0.0,1.9366197183098592,0.0,274.0,0.0,1.0
2024-01-01,OUTFLOW,M2M,M2M,SMB,DIGITAL,Tulcea,Est,1,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
2024-01-01,OUTFLOW,M2M,M2M,SMB,SR BSA,Bucuresti,Sud,3,0.0,4.0,0.0,1.3333333333333333,0.0,4.0,0.0,0.0
2024-01-01,INFLOW,M2M,M2M,Public,DIRECT SALES,Bucuresti,Sud,2580,2593.0,0.0,1.0050387596899224,0.0,2583.0,0.0,10.0,0.0
2024-01-01,INFLOW,M2M,M2M,SMB,SR BSA,Bucuresti,Sud,400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
